no,title,content,clean_content,url
11,Skiban Di Kopeng Tree Top ,"SKIBAN DI KOPENG TREE TOP, SERU DAN MENANTANG Bagaimana ya rasanya seluncuran dengan menggunakan ban, lalu jatuh di bantalan bag jump? Seru? Iya! Menegangkan? Pasti! Permainan Skiban itu bisa Sobat jumpai di Kopeng Tree Top. Ada juga wahana menantang lainnya, seperti Zipcoaster, ATV, dan Caving. Setelah seru-seruan, bisa lanjut bersantai di Sky Resto atau Glamping bersama keluarga tercinta. Jalan Raya Kopeng, Batur, Getasan, Selo Ngisor, Batur, Kec. Getasan, Semarang, Jawa Tengah 50774",skiban di kopeng tree top seru dan menantang bagaimana ya rasanya seluncuran dengan menggunakan ban lalu jatuh di bantalan bag jump seru iya menegangkan pasti permainan skiban itu bisa sobat jumpai di kopeng tree top ada juga wahana menantang lainnya seperti zipcoaster atv dan caving setelah seru seruan bisa lanjut bersantai di sky resto atau glamping bersama keluarga tercinta jalan raya kopeng batur getasan selo ngisor batur kec getasan semarang jawa tengah ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/skiban-di-kopeng-tree-top
12,Gedongsongo Sunrise Hill ,"GEDONGSONGO SUNRISE HILL, BANYAK SPOT INSTAGRAMMABLE DI SINI Kamu suka swafoto? Gedongsongo Sunrise Hill punya banyak spot keren yang instagrammable. Ada kampung halloween, kampung Jepang, kampung Salju, rumah terbalik, hingga labirin. Lokasinya cuma 800 meter dari Candi Gedongsongo, Kab. Semarang. Oh ya, Sobat juga bisa menjajal glamping di sini. Asyik kan.",gedongsongo sunrise hill banyak spot instagrammable di sini kamu suka swafoto gedongsongo sunrise hill punya banyak spot keren yang instagrammable ada kampung halloween kampung jepang kampung salju rumah terbalik hingga labirin lokasinya cuma meter dari candi gedongsongo kab semarang oh ya sobat juga bisa menjajal glamping di sini asyik kan ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/gedongsongo-sunrise-hill
1,Gua Maria Kerep Ambarawa ,"PESONA GUA MARIA KEREP AMBARAWA Gua Maria Kerep Ambarawa (GMKA), Kecamatan Ambarawa, Kabupaten Semarang menjadi magnet umat Katolik di Indonesia bahkan luar negeri. Kenapa? Terlepas dari suasanya yang tenang dan sejuk, GMKA punya pesona Patung Bunda Maria Assumpta setinggi 42 meter yang indah.",pesona gua maria kerep ambarawa gua maria kerep ambarawa gmka kecamatan ambarawa kabupaten semarang menjadi magnet umat katolik di indonesia bahkan luar negeri kenapa terlepas dari suasanya yang tenang dan sejuk gmka punya pesona patung bunda maria assumpta setinggi meter yang indah ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/gua-maria-kerep-ambarawa
2,"Saloka, Theme Park Terbesar Di Jawa Tengah ","CURUG KALIURIP, IKON WISATA BARU DI PURWOREJO Cari yang segar? Taman Wisata Curug Kaliurip di Desa Kaliurip, Kecamatan Kemiri, Purworejo, bisa jadi pilihan. Curug Kaliurip menawarkan wisata air terjun dengan ketinggian 45 m dan kedalaman air sekitar 8 meter. Hanya dengan lima ribu rupiah per orang, Sobat bisa merasakan segarnya air terjun. Lapar sehabis bermain air? Tersedia juga kuliner khas Purworejo dengan harga terjangkau. Untuk saat ini, akses hanya bisa dilalui dengan kendaraan bermotor roda dua. Nanti ajak teman kamu untuk touring ke sini ya.",curug kaliurip ikon wisata baru di purworejo cari yang segar taman wisata curug kaliurip di desa kaliurip kecamatan kemiri purworejo bisa jadi pilihan curug kaliurip menawarkan wisata air terjun dengan ketinggian dan kedalaman air sekitar meter hanya dengan lima ribu rupiah per orang sobat bisa merasakan segarnya air terjun lapar sehabis bermain air tersedia juga kuliner khas purworejo dengan harga terjangkau untuk saat ini akses hanya bisa dilalui dengan kendaraan bermotor roda dua nanti ajak teman kamu untuk touring ke sini ya ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/saloka-theme-park-terbesar-di-jawa-tengah
3,Jembatan Kaca Gumuk Reco ,"Masih ingat sensasi menegangkan Ayunan Langit dan Ondo Langit di Gumuk Reco Sepakung? Sekarang, ada wahana baru yang tak kalah menegangkan, yaitu jembatan kaca yang berada di ketinggian. Jembatan seluas 12 m  ini menggunakan kaca tiga lapis dengan total setebal 17,3 milimeter. Maksimal 3 orang pengunjung yang diperbolehkan untuk menaiki jembatan kaca. Pengunjung juga akan menggunakan alas kaki khusus dan tidak diperbolehkan bersandar di besi pengaman serta berfoto sambil melompat. Penasaran? Ayo, ke Gumuk Reco di Desa Sepakung, Kecamatan Banyubiru, Kabupaten Semarang.",masih ingat sensasi menegangkan ayunan langit dan ondo langit di gumuk reco sepakung sekarang ada wahana baru yang tak kalah menegangkan yaitu jembatan kaca yang berada di ketinggian jembatan seluas ini menggunakan kaca tiga lapis dengan total setebal milimeter maksimal orang pengunjung yang diperbolehkan untuk menaiki jembatan kaca pengunjung juga akan menggunakan alas kaki khusus dan tidak diperbolehkan bersandar di besi pengaman serta berfoto sambil melompat penasaran ayo ke gumuk reco di desa sepakung kecamatan banyubiru kabupaten semarang ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/jembatan-kaca-gumuk-reco
4,Taman Bunga Celosia ,"Liburan ke Eropa? Tak perlu jauh-jauh, datang saja ke Taman Bunga Celosia berada di kawasan wisata Candi Gedong Songo, tepatnya di Desa Banyukuning, Bandungan, Kabupaten Semarang. Taman ini didesain lengkap dengan kincir angin dan beragam jenis bunga asli Eropa yang didatangkan langsung dari tanah asalnya. Selain bunga, Taman Bunga Celosia juga menyuguhkan sejumlah miniatur ikon dunia. Di antaranya adalah Patung Singa Merlion serta Menara Effiel. Keindahan Taman Bunga Celosia tidak diragukan lagi telah menjadi pilihan ribuan pengunjung untuk menghabiskan liburannya.",liburan ke eropa tak perlu jauh jauh datang saja ke taman bunga celosia berada di kawasan wisata candi gedong songo tepatnya di desa banyukuning bandungan kabupaten semarang taman ini didesain lengkap dengan kincir angin dan beragam jenis bunga asli eropa yang didatangkan langsung dari tanah asalnya selain bunga taman bunga celosia juga menyuguhkan sejumlah miniatur ikon dunia di antaranya adalah patung singa merlion serta menara effiel keindahan taman bunga celosia tidak diragukan lagi telah menjadi pilihan ribuan pengunjung untuk menghabiskan liburannya ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/taman-bunga-celosia
5,Desa Wisata Lerep ,"Desa Wisata Lerep memiliki atraksi wisata Edu-Ecotour antara lain bercocok tanam, beternak, pemanfaatan bahan limbah, pengolahan susu sapi, kopi dan gula aren, kerajinan bambu. Terdapat wisata alam yaitu air terjun curug Indrokilo, Sunrise Puncak Ngipik , bentang sawah yang indah serta sungai Pangus yang jernih penuh bebatuan alami. Anda juga dapat menyaksikan beragam atraksi wisata budaya, seperti  tradisi sadranan, iriban, kadeso dan gepuk bumbung. Beberapa kesenian yang juga dapat dijumpai di desa ini ialah tari caping gangsing, tari gambyong, tari soyong, tari denok Semarang, kesenian jaran kepang, reog, angklung, drumblek dan rebana. Anda yang ingin mencicipi aneka makanan dan minuman tradisional desa, silakan datang ke Pasar Jajanan Ndeso Tempo Dulu yang hadir setiap minggu pagi. Untuk informasi dan reservasi : Pokdarwis Rukun Santoso, Dusun Lerep RT 01/02, Desa Lerep Telp. 0857 9967 2307 Website : http://desawisatalerep.com Instagram : http://www.instagram.com/desawisatalerep",desa wisata lerep memiliki atraksi wisata edu ecotour antara lain bercocok tanam beternak pemanfaatan bahan limbah pengolahan susu sapi kopi dan gula aren kerajinan bambu terdapat wisata alam yaitu air terjun curug indrokilo sunrise puncak ngipik bentang sawah yang indah serta sungai pangus yang jernih penuh bebatuan alami anda juga dapat menyaksikan beragam atraksi wisata budaya seperti tradisi sadranan iriban kadeso dan gepuk bumbung beberapa kesenian yang juga dapat dijumpai di desa ini ialah tari caping gangsing tari gambyong tari soyong tari denok semarang kesenian jaran kepang reog angklung drumblek dan rebana anda yang ingin mencicipi aneka makanan dan minuman tradisional desa silakan datang ke pasar jajanan ndeso tempo dulu yang hadir setiap minggu pagi untuk informasi dan reservasi pokdarwis rukun santoso dusun lerep rt desa lerep telp website ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/desa-wisata-lerep
6,Tirto Argo Siwarak ,"Tirto Argo Siwarak di Dusun Blanten RT 4 RW 8, Desa Lerep, Kecamatan Ungaran Barat, Kab. Semarang merupakan wahana permainan air untuk anak berupa kolam renang yang bersumber dari mata air Gunung Ungaran, sehingga airnya jernih dan tidak berbau. Tirto Argo Siwarak memiliki empat zona kolam dengan kedalaman 30 cm, 60 cm, 1 m, hingga 3 meter. Kolam utama untuk remaja dan dewasa dilengkapi dengan perosotan meliuk yang cukup memacu adrenalin. Harga tiket masuk Tirto Argo Siwarak cukup terjangkau yaitu Rp.15.000/orang. Destinasi wisata ini buka dari pukul 06.30 WIB hingga 17.30. Kolam renang Tirto Argo Siwarak tidak buka setiap hari, akan tetapi hanya buka di hari Senin, Kamis, Jumat, Sabtu, dan Minggu saja, dikarenakan dilakukan pembersihan kolam setiap hari Selasa dan Rabu. Sehingga tak heran kolam renang ini selalu terjaga kebersihannya.",tirto argo siwarak di dusun blanten rt rw desa lerep kecamatan ungaran barat kab semarang merupakan wahana permainan air untuk anak berupa kolam renang yang bersumber dari mata air gunung ungaran sehingga airnya jernih dan tidak berbau tirto argo siwarak memiliki empat zona kolam dengan kedalaman cm cm hingga meter kolam utama untuk remaja dan dewasa dilengkapi dengan perosotan meliuk yang cukup memacu adrenalin harga tiket masuk tirto argo siwarak cukup terjangkau yaitu rp orang destinasi wisata ini buka dari pukul wib hingga kolam renang tirto argo siwarak tidak buka setiap hari akan tetapi hanya buka di hari senin kamis jumat sabtu dan minggu saja dikarenakan dilakukan pembersihan kolam setiap hari selasa dan rabu sehingga tak heran kolam renang ini selalu terjaga kebersihannya ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/tirto-argo-siwarak
7,Kampoeng Kopi Banaran ,"Kampoeng Kopi Banaran adalah One Stop Tourism and Education Service, yang berpusat di Jl. Raya Semarang-Bawen KM 1,5 , Bawen, Semarang. Kampoeng Kopi Banaran memiliki beberapa fasilitas, antara lain Convention Hall, Indoor dan Outdoor Event Space, Meeting Package, Agro Tourism, Restaurant, Resort Hotel, Coffee  Spa, Outbond, Kolam Renang, Tennis Court, dan Taman Bermain Anak. Pengunjung juga dapat mengikuti wisata edukasi karet, kakao, dan wisata  penanaman, pengolahan, pengemasan, hingga menjadi secangkir Kopi Banaran yang istimewa. Kunjungi website Kampoeng Kopi Banaran : http://www.kampoengkopibanaran.co.id",kampoeng kopi banaran adalah one stop tourism and education service yang berpusat di jl raya semarang bawen km bawen semarang kampoeng kopi banaran memiliki beberapa fasilitas antara lain convention hall indoor dan outdoor event space meeting package agro tourism restaurant resort hotel coffee spa outbond kolam renang tennis court dan taman bermain anak pengunjung juga dapat mengikuti wisata edukasi karet kakao dan wisata penanaman pengolahan pengemasan hingga menjadi secangkir kopi banaran yang istimewa kunjungi website kampoeng kopi banaran ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/kampoeng-kopi-banaran
8,Curug Lawe ,"Air terjun ini dinamakan Curug Lawe, karena air jatuh dari tebing yang curam bagaikan benang-benang putih yang yang dalam bahasa jawa disebut 'Lawe' (tali seratnya putih). Curug lawe berlokasi di Desa Muncar, Kecamatan Gemawang.",air terjun ini dinamakan curug lawe karena air jatuh dari tebing yang curam bagaikan benang benang putih yang yang dalam bahasa jawa disebut lawe tali seratnya putih curug lawe berlokasi di desa muncar kecamatan gemawang ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/curug-lawe
9,Museum Kereta Api Ambarawa ,"Museum Kereta Api Ambarawa terletak di pusat kota Ambarawa, dekat jalan utama Semarang-Jogja, sekitar 20 kilometer dari kota Ungaran. Museum KA Ambarawa merupakan satu-satunya museum yang memamerkan teknologi kereta kuno dan warisan kolonial Belanda. Museum ini menawarkan paket rekreasi yang dapat membawa pengunjung di sekitar desa dengan kereta api kuno sambil menikmati gugusan pegunungan dan rawa pening. Bangunan ini pertamakali  dibangun atas instruksi Raja Willem I untuk memudahkan sistem transportasi militer. Pada tahun 1976, Sopeardjo Rustam, Gubernur Jawa Tengah, mengubah fungsi stasiun sebagai museum.",museum kereta api ambarawa terletak di pusat kota ambarawa dekat jalan utama semarang jogja sekitar kilometer dari kota ungaran museum ka ambarawa merupakan satu satunya museum yang memamerkan teknologi kereta kuno dan warisan kolonial belanda museum ini menawarkan paket rekreasi yang dapat membawa pengunjung di sekitar desa dengan kereta api kuno sambil menikmati gugusan pegunungan dan rawa pening bangunan ini pertamakali dibangun atas instruksi raja willem untuk memudahkan sistem transportasi militer pada tahun sopeardjo rustam gubernur jawa tengah mengubah fungsi stasiun sebagai museum ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/museum-kereta-api-ambarawa
10,Curug Tujuh Bidadari ,"Wisata air terjun di Desa Keseneng, Sumowono, Ungaran ini memiliki 7 tingkatan dengan ketinggian berbeda-beda. Untuk menuju lokasi ini, Anda harus melewati jalan yang berliku dengan kondisi cukup baik. Namun demikian, Anda akan disuguhi pemandangan persawahan dan hutan yang hijau yang indah. Pada bagian atas curug terdapat sumber mata air atau sumur yang sangat segar. Di sekitar curug juga terdapat panggung dan jembatan bambu untuk menikmati cantiknya curug 7 bidadari dari ketinggian.   Foto : https://www.indonesiakaya.com/jelajah-indonesia/detail/melihat-air-terjun-bertingkat-di-curug-7-bidadari",wisata air terjun di desa keseneng sumowono ungaran ini memiliki tingkatan dengan ketinggian berbeda beda untuk menuju lokasi ini anda harus melewati jalan yang berliku dengan kondisi cukup baik namun demikian anda akan disuguhi pemandangan persawahan dan hutan yang hijau yang indah pada bagian atas curug terdapat sumber mata air atau sumur yang sangat segar di sekitar curug juga terdapat panggung dan jembatan bambu untuk menikmati cantiknya curug bidadari dari ketinggian foto ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/curug-tujuh-bidadari
11,Gua Maria Kerep ,"Gua Maria merupakan tempat doa dan ziarah umat Katolik yang terletak di Kerep, Kelurahan Panjang Kecamatan Ambarawa. Gua Maria dibangun sejak tahun 1954. Di area ini terdapat patung Bunda Maria dengan tinggi 42 meter (tinggi patung 23 m + penopang 19 m). Di Gua Maria Kerep ini, pengunjung  juga dapat melakukan jalan salib, disediakan banyak tempat duduk bagi peziarah yang ingin berdoa pada bagian Yesus wafat di kayu salib.   Foto : https://www.jejakpiknik.com/gua-maria-kerep/",gua maria merupakan tempat doa dan ziarah umat katolik yang terletak di kerep kelurahan panjang kecamatan ambarawa gua maria dibangun sejak tahun di area ini terdapat patung bunda maria dengan tinggi meter tinggi patung penopang di gua maria kerep ini pengunjung juga dapat melakukan jalan salib disediakan banyak tempat duduk bagi peziarah yang ingin berdoa pada bagian yesus wafat di kayu salib foto ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/gua-maria-kerep
12,The Fountain Waterpark ,"The Fountain menawarkan wahana permainan air dan outbound arena dengan pemandangan dan kesejukan Gunung Ungaran. The Fountain juga dilengkapi dengan resto yang akan memanjakan lidah para pengunjung. Disediakan pula beberapa wahana permainan yang menyenangkan seperti perosotan, dan ember tumpah yang menjadi favorit anak-anak. Terdapat empat kolam dengan kedalaman berbeda, mulai dari 30 cm,50 cm, 1 meter, hingga 1,5 meter untuk orang dewasa.   Foto : https://www.instagram.com/fountainungaran/?hl=id",the fountain menawarkan wahana permainan air dan outbound arena dengan pemandangan dan kesejukan gunung ungaran the fountain juga dilengkapi dengan resto yang akan memanjakan lidah para pengunjung disediakan pula beberapa wahana permainan yang menyenangkan seperti perosotan dan ember tumpah yang menjadi favorit anak anak terdapat empat kolam dengan kedalaman berbeda mulai dari cm cm meter hingga meter untuk orang dewasa foto ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/the-fountain-waterpark
1,Kopeng Waterpark ,"Kopeng Waterpark terletak diantara kota Salatiga dan Magelang, di bawah kaki Gunung Merbabu. Kopeng Waterpark memiliki berbagai fasilitas seperti wahana permainan air dan anak dengan luas lebih dari 4 Ha, resort keluarga, restoran keluarga, fun billiard, gedung pertemuan, outbound center, ATV, paintball, karaoke, gathering area, dan kuda wisata. Kopeng Waterpark juga memiliki pasar buah dan sayuran segar, pusat souvenir dan kaos yang sangat cocok sebagai oleh-oleh.    Untuk info lebih lanjut silahkan kunjungi websitenya http://www.tamanwisatakopeng.com/contact-us/",kopeng waterpark terletak diantara kota salatiga dan magelang di bawah kaki gunung merbabu kopeng waterpark memiliki berbagai fasilitas seperti wahana permainan air dan anak dengan luas lebih dari ha resort keluarga restoran keluarga fun billiard gedung pertemuan outbound center atv paintball karaoke gathering area dan kuda wisata kopeng waterpark juga memiliki pasar buah dan sayuran segar pusat souvenir dan kaos yang sangat cocok sebagai oleh oleh untuk info lebih lanjut silahkan kunjungi websitenya ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/kopeng-waterpark
2,Bukit Cinta Rawa Pening ,"Berjarak 1 jam dari pusat Kota Semarang, Bukit Cinta di Desa Kebondowo, Kecamatan Banyubiru, menawarkan panorama yang luar biasa. Pemandangan rawa pening dan gugusan pegunungan yang eksotis membuat orang betah berlama-lama disini. Bukit Cinta Rawa Pening cukup populer di kalangan pecinta fotografi. Mereka biasa menghabiskan waktu saat matahari terbit di pagi hari atau matahari terbenam di sore hari untuk mendapatkan foto yang diinginkan.   Foto : https://www.instagram.com/bukitcinta.rp/?hl=id 
 ",berjarak jam dari pusat kota semarang bukit cinta di desa kebondowo kecamatan banyubiru menawarkan panorama yang luar biasa pemandangan rawa pening dan gugusan pegunungan yang eksotis membuat orang betah berlama lama disini bukit cinta rawa pening cukup populer di kalangan pecinta fotografi mereka biasa menghabiskan waktu saat matahari terbit di pagi hari atau matahari terbenam di sore hari untuk mendapatkan foto yang diinginkan foto ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/bukit-cinta-rawa-pening
